2018,Green Book,Bohemian Rhapsody,Rami Malek,The Favorite,Olivia Colman,Roma,Alfonso Cuaron
2017,The Shape of Water,Darkest Hour,Gary Oldman,"Three Billboards outside Ebbing, Missouri",Frances McDormand,The Shape of Water,Guillermo Del Toro
2016,Moonlight,Manchester by the Sea,Casey Affleck,La La Land,Emma Stone,La La Land,Damien Chazelle
2015,Spotlight,The Revenant,Leonardo DiCaprio,Room,Brie Larson,The Revenant,Alejandro G. Innaritu
2014,Birdman,The Theory of Everything,Eddie Redmayne,Still Alice,Julianne Moore,Birdman,Alejandro G. Innaritu
2013,12 Years a Slave,Dallas Buyers Club,Matthew McConaughey,Blue Jasmine,Cate Blanchett,Gravity,Alfonso Cuaron
2012,Argo,Lincoln,Daniel Day-Lewis,Silver Linings Playbook,Jennifer Lawrence,Life of Pi,Ang Lee
2011,The Artist,The Artist,Jean Dujardin,The Iron Lady,Meryl Streep,The Artist,Michel Hazanavicius
2010,The King's Speech,The King's Speech,Colin Firth,Black Swan,Natalie Portman,The King's Speech,Tom Hooper
2009,The Hurt Locker,Crazy Heart,Jeff Bridges,The Blind Side,Sandra Bullock,The Hurt Locker,Kathryn Bigelow
2008,Slumdog Millionaire,Milk,Sean Penn,The Reader,Kate Winslet,Slumdog Millionaire,Danny Boyle
2007,No Country for Old Men,There Will Be Blood,Daniel Day-Lewis,La vie en rose,Marion Cotillard,No Country for Old Men,Joel and Ethan Coen
2006,The Departed,The Last King of Scotland,Forest Whitaker,The Queen,Helen Mirren,The Departed,Martin Scorsese
2005,Crash,Capote,Philip Seymour Hoffman,Walk the Line,Reese Witherspoon,Brokeback Mountain,
2004,Million Dollar Baby,Ray,Jamie Foxx,Million Dollar Baby,Hillary Swank,Million Dollar Baby,Clint Eastwood
2003,The Lord of the Rings: The Return of the King,Mystic River,Sean Penn,Monster,Charlize Theron,The Lord of the Rings: The Return of the King,Peter Jackson
2002,Chicago,The Pianist,Adrien Brody,The Hours,Nicole Kidman,The Pianist,Roman Polanski
2001,A Beautiful Mind,Training Day,Denzel Washington,Monster's Ball,Halle Berry,A Beautiful Mind,Ron Howard
2000,Gladiator,Gladiator,Russel Crowe,Erin Brockovich,Julia Roberts,Traffic,Steven Soderbergh
1999,American Beauty,American Beauty,Kevin Spacey,Boys Don't Cry,Hillary Swank,American Beauty,Sam Mendes
1998,Shakespeare in Love,Life Is Beautiful,Robert Benigni,Shakespeare in Love,Gwyneth Paltrow,Saving Private Ryan,Steven Spielberg
1997,Titanic,As Good As It Gets,Jack Nicholson,As Good As It Gets,Helen Hunt,Titanic,James Cameron
1996,The English Patient,Shine,Geoffry Rush,Fargo,Frances McDormand,The English Patient,
1995,Braveheart,Leaving Las Vegas,Nicolas Cage,Dead Man Walking,Susan Sarandon,Braveheart,Mel Gibson
1994,Forrest Gump,Forrest Gump,Tom Hanks,Blue Sky,Jessica Lang,Forrest Gump,Robert Zemeckis
1993,Schindler's List,Philadelphia,Tom Hanks,The Piano,Holly Hunter,Schindler's List,Steven Spielberg
1992,Unforgiven,Scent of a Woman,Al Pacino,Howards End,Emma Thompson,Unforgiven,Clint Eastwood
1991,The Silence of the Lambs,The Silence of the Lambs,Anthony Hopkins,The Silence of the Lambs,Jodie Foster,The Silence of the Lambs,Jonathan Demme
1990,Dances with Wolves,Reversal of Fortune,Jeremy Irons,Misery,Kathy Bates,Dances with Wolves,Kevin Costner
1989,Driving Miss Daisy,My Left Foot,Daniel Day-Lewis,Driving Miss Daisy,Jessica Tandy,Born on the Fourth of July,Oliver Stone
1988,Rain Man,Rain Man,Dustin Hoffman,The Accused,Jodie Foster,Rain Man,Barry Levinson
1987,The Last Emperor,Wall Street,Michael Douglas,Moonstruck,Cher,The Last Emperor,Bernardo Bertolucci
1986,Platoon,The Color of Money,Paul Newman,Children of a Lesser God,Marlee Matlin,Platoon,Oliver Stone
1985,Out of Africa,Kiss of the Spider Woman,William Hurt,The Trip to Bountiful,Geraldine Page,Out of Africa,Sydney Pollack
1984,Amadeus,Amadeus,F. Murray Abraham,Places in the Heart,Sally Field,Amadeus,Milos Forman
1983,Terms of Endearment,Tender Mercies,Robert Duvall,Terms of Endearment,Shirley MacLaine,Terms of Endearment,James L. Brooks
1982,Gandhi,Gandhi,Ben Kingsly,Sophie's Choice,Meryl Streep,Gandhi,Richard Attenborough
1981,Chariots of Fire,On Golden Pond,Henry Fonda,On Golden Pond,Katherine Hepburn,Reds,Warren Beatty
1980,Ordinary People,Raging Bull,Robert De Niro,Coal Miner's Daughter,Sissy Spacek,Ordinary People,Robert Redford
1979,Kramer vs. Kramer,Kramer vs. Kramer,Dustin Hoffman,Norma Rae,Sally Field,Kramer vs. Kramer,Robert Benton
1978,The Deer Hunter,Coming Home,Jon Voight,Coming Home,Jane Fonda,The Deer Hunter,Michael Cimino
1977,Annie Hall,The Goodbye Girl,Richard Dreyfuss,Annie Hall,Diane Keaton,Annie Hall,Woody Allen
