Green Book,2018,8.2,130,Drama,Comedy,November,69,Dr Don Shirley is a world-class African-American pianist who is about to embark on a concert tour in the Deep South in 1962. In need of a driver and protection Shirley recruits Tony Lip a tough-talking bouncer from an Italian-American neighbourhood in the Bronx. Despite their differences the two men soon develop an unexpected bond while confronting racism and danger in an era of segregation.
Moonlight,2016,7.4,175,Drama,NA,October,99,A look at three defining chapters in the life of Chiron a young black man growing up in Miami. His epic journey to manhood is guided by the kindness support and love of the community that helps raise him.
Spotlight,2015,8.1,129,Drama,Crime,January,93,"In 2001 editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan an unfrocked priest accused of molesting more than 80 boys. Led by editor Walter """"Robby"""" Robinson (Michael Keaton) reporters Michael Rezendes (Mark Ruffalo) Matt Carroll and Sacha Pfeiffer interview victims and try to unseal sensitive documents. The reporters make it their mission to provide proof of a cover-up of sexual abuse within the Roman Catholic Church."
Birdman,2014,7.8,119,Comedy,Drama,November,88,Illustrated upon the progress of his latest Broadway play a former popular actors struggle to cope with his current life as a wasted actor is shown.
12 Years a Slave,2013,8.1,134,Biography,Drama,November,97,In the antebellum United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery.
Argo,2012,7.8,120,Biography,Drama,October,86,Acting under the cover of a Hollywood producer scouting a location for a science fiction film a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.
The Artist,2011,8,100,Comedy,Drama,October,89,A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
The King's Speech,2010,8,118,Biography,Drama,December,88,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
The Hurt Locker,2009,7.6,131,Drama,History,July,94,During the Iraq War a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.
Slumdog Millionaire,2008,8,120,Drama,Romance,January,86,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of Who Wants to be a Millionaire?"""
No Country for Old Men,2007,8.1,122,Crime,Drama,November,91,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
The Departed,2006,8.5,151,Crime,Drama,October,86,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Crash,2005,7.9,112,Drama,NA,May,69,Los Angeles citizens with vastly separate lives collide in interweaving stories of race loss and redemption.
Million Dollar Baby,2004,8.1,132,Drama,Sport,January,86,A determined woman works with a hardened boxing trainer to become a professional.
The Lord of the Rings: The Return of the King,2003,8.9,201,Adventure,Drama,December,94,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Chicago,2002,7.2,113,Comedy,Crime,February,82,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.
A Beautiful Mind,2001,8.2,135,Biography,Drama,January,72,After a brilliant but asocial mathematician John Nash accepts secret work in cryptography his life takes a turn for the nightmarish.
Gladiator,2000,8.5,155,Action,Drama,May,64,When a Roman general is betrayed and his family murdered by an emperors corrupt son he comes to Rome as a gladiator to seek revenge.
American Beauty,1999,8.4,122,Drama,Romance,October,86,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
Shakespeare in Love,1998,7.2,123,Comedy,Drama,December,87,A young Shakespeare out of ideas and short of cash meets his ideal woman and is inspired to write one of his most famous plays.
Titanic,1997,7.7,194,Drama,Romance,December,74,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.
The English Patient,1996,7.4,162,Drama,Romance,November,87,At the close of WWII a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks revealing an involvement in a fateful love affair.
Braveheart,1995,8.4,178,Biography,Drama,May,68,When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.
Forrest Gump,1994,8.8,142,Drama,Romance,July,82,Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.
Schindler's List,1993,8.9,195,Biography,Drama,December,93,In Poland during World War II Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
Unforgiven,1992,8.3,131,Western,NA,August,82,Retired Old West gunslinger William Munny reluctantly takes on one last job with the help of his old partner and a young man.
The Silence of the Lambs,1991,8.6,118,Crime,Drama,February,84,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
Dances with Wolves,1990,8,181,Adventure,Drama,November,72,Lt. John Dunbar exiled to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military.
Driving Miss Daisy,1989,7.4,99,Comedy,Drama,January,81,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
Rain Man,1988,8,133,Drama,NA,December,65,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
The Last Emperor,1987,7.8,163,Biography,Drama,October,76,The story of the final Emperor of China.
Platoon,1986,8.1,120,Drama,War,February,0,A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Amadeus,1984,8.3,160,Biography,Drama,October,93,The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
Terms of Endearment,1983,7.4,132,Comedy,Drama,December,79,Follows hard-to-please Aurora looking for love and her daughters family problems.
Gandhi,1982,8.1,191,Biography,Drama,December,0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Chariots of Fire,1981,7.3,125,Biography,Drama,May,0,Two British track athletes one a determined Jew and the other a devout Christian compete in the 1924 Olympics.
Ordinary People,1980,7.8,124,Drama,NA,February,85,The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son.
Kramer vs. Kramer,1979,7.8,105,Drama,NA,December,77,Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
